docdb_family_id,ipc_class
38069075,F03D9/00
38069075,H02P9/04
38118934,B64C27/615
38118934,F03D9/02
38134496,F03D7/00
38134496,H02P9/04
38147611,F03D7/00
38162135,B64C27/54
38162135,F01B7/18
38162135,F01L31/00
38162135,F15B13/044
38162135,F15B13/16
38170014,F03D7/02
38170014,F03D7/04
38197650,F03D9/00
38197650,H02P9/00
38198255,F03D11/02
38198255,F03D7/00
38198827,F03D7/00
38219481,E04D3/38
38219481,E04D3/40
38219481,F03B13/00
38219481,F03D9/00
38219481,H02P9/04
38222469,F03D11/00
38222469,F03D9/00
38222469,H02P9/04
38222676,F03D11/00
38222676,F03D11/02
38222676,F03D11/04
38222676,F03D7/04
38232891,F03D7/02
38255293,H02P9/04
38261594,F03D9/00
38261594,H02P9/04
38283286,F01D11/22
38283286,F01D21/04
38286555,F03D9/00
38286555,G05D3/12
38286555,G06F19/00
38309665,F03D9/00
38309665,H02P9/04
38335543,F02D29/06
38335543,F03D9/00
38335543,H02P9/04
38335543,H02P9/42
38335742,F02D29/06
38335742,F03D9/00
38335742,H02P9/04
38337032,F03B15/06
38337032,F03D7/00
38337032,F03D7/02
