appln_id,appln_auth,docdb_family_id,YR_PUB,SQ_APLS,CA_GRANT,REGION,SQ_SCOPE,LN_FAMSIZE,CA_NPL
53285014,US,38805602,2008,1,1,2,1,2,1
53288387,US,39590878,2008,1,1,2,1,2,1
53304893,US,27220727,2003,1,1,2,1,2,0
53314009,US,38740123,2008,1,0,2,2,2,0
53314079,US,38515461,2008,1,1,2,1,2,5
53345014,US,7693714,2004,0,1,2,1,3,3
53346224,US,38859576,2008,1,1,1,1,2,2
53361338,US,38776817,2008,1,0,2,2,2,0
53383681,US,38740163,2008,1,1,2,1,2,0
53383737,US,39509845,2008,1,1,2,1,1,1
53383766,US,38724397,2008,1,1,2,1,2,1
53453076,US,9548426,2003,1,1,2,1,3,0
53458715,US,8171034,2001,1,1,2,1,2,0
53489993,US,35998481,2008,1,1,2,2,2,4
53500154,US,34912417,2005,1,1,1,2,1,0
53539451,US,7634034,2002,1,0,2,1,2,0
53561817,US,7882388,2004,1,1,2,1,2,1
53585350,US,34990046,2005,0,1,1,1,1,0
53600448,US,34959688,2008,1,0,2,1,2,0
53678440,US,46301215,2004,0,1,1,1,1,0
53685089,US,27393500,2002,2,0,1,1,1,0
53707391,US,36653410,2006,0,0,1,1,1,0
53716006,US,35136612,2005,0,1,1,1,1,0
53723228,US,38515805,2008,1,1,2,1,2,3
53735129,US,25275303,2002,1,1,1,2,1,0
53737603,US,39188801,2008,0,0,1,1,1,0
53740819,US,33562780,2005,1,0,2,1,1,0
53743323,US,25016102,2002,1,1,1,1,2,15
53750651,US,38752541,2008,1,1,2,1,2,2
53753224,US,38515503,2008,1,1,2,2,2,1
53758901,US,27093569,2004,1,1,1,1,2,28
53770664,US,38959662,2008,1,1,2,1,2,1
53839486,US,26050411,2005,1,1,2,1,3,2
53853620,US,27659983,2004,1,1,1,1,2,0
53885802,US,35455150,2005,1,1,1,1,2,0
53922881,US,39106077,2008,1,1,2,2,1,0
53960748,US,34941101,2006,1,1,2,1,1,0
53960753,US,35513109,2006,1,1,1,1,1,1
53960834,US,35514092,2006,1,1,1,1,1,0
53960841,US,35514093,2006,1,1,1,1,1,0
53962857,US,46329040,2008,0,0,1,1,1,0
53963374,US,34941028,2006,1,1,2,1,1,1
53979350,US,7924735,2004,0,1,2,1,3,5
54011532,US,38198255,2008,1,1,2,1,2,0
54019697,US,35005601,2005,0,1,1,1,1,2
54025379,US,33562574,2005,1,1,2,2,2,0
54030976,US,34909985,2005,0,1,1,2,2,0
54110716,US,33550055,2005,1,1,2,1,1,1
54150946,US,26916487,2002,1,1,1,1,1,0
54183902,US,19685402,2002,1,1,1,1,1,0
54198202,US,35079345,2006,0,0,2,1,1,0
54227459,US,20414778,2003,1,1,2,1,3,0
54252807,US,39311311,2008,1,1,2,1,1,0
54302172,US,18913892,2002,1,1,2,2,1,0
54318341,US,34981372,2006,1,1,2,1,2,0
54336976,US,36782307,2008,1,1,2,1,2,1
54363380,US,34355502,2005,1,1,2,1,2,1
54367918,US,46302938,2005,1,1,1,1,1,0
54394737,US,34753150,2005,2,0,2,1,1,0
54401001,US,25522816,2003,1,1,1,1,1,0
54401327,US,38335543,2008,1,1,2,2,1,0
54401338,US,38335742,2008,1,1,2,2,1,0
54418504,US,19189473,2008,1,1,2,1,2,4
54420926,US,37482521,2008,1,1,2,1,1,1
54423965,US,34681755,2005,1,1,2,2,2,0
54471301,US,35809593,2008,1,1,2,2,2,3
54472197,US,35873125,2008,1,1,2,1,2,1
54488138,US,37711833,2008,1,1,2,1,2,0
54491692,US,32735561,2004,2,0,2,1,2,0
54496241,US,32962699,2004,2,0,1,1,1,0
54497981,US,33130859,2004,1,0,1,1,1,0
54508472,US,33539078,2004,1,0,2,1,2,1
54511986,US,34103166,2005,2,0,2,1,2,0
54523664,US,34521913,2005,2,0,2,1,2,1
54546198,US,34966536,2005,2,0,1,1,2,0
54556239,US,35058795,2006,1,0,1,0,1,0
54578712,US,36615418,2006,1,0,2,1,2,0
54590149,US,38003906,2007,2,0,2,1,2,0
54636259,US,38470837,2007,1,0,1,1,1,0
54637093,US,38522930,2007,2,0,1,1,1,0
55003599,EP,39682249,2010,1,0,2,1,2,1
55029615,US,35432892,2008,1,1,2,1,2,5
55029631,US,36147049,2008,1,1,2,1,2,2
55031792,US,39092242,2008,1,1,1,2,2,0
55067463,US,37637522,2008,1,1,2,1,2,0
55067464,US,39717819,2008,0,0,2,1,2,0
55158551,US,38759543,2008,1,1,2,1,2,1
55163867,EP,39941479,2009,1,0,1,1,1,0
55314007,US,40026767,2008,1,0,1,1,1,0
55314008,US,39142757,2008,1,1,2,2,2,4
55351156,EP,40044115,2009,1,0,1,1,1,0
55387793,US,37114539,2008,1,0,2,1,2,0
55389539,US,38654935,2008,1,1,2,2,1,1
55389540,US,38814477,2008,1,1,2,1,2,1
55389541,US,38983706,2008,1,1,2,1,1,0
55399091,EP,38895466,2009,1,0,2,1,1,1
55424462,US,38694113,2008,1,1,2,1,2,2
55441953,US,39415361,2008,1,0,2,1,1,1
55443621,US,38232891,2008,1,0,2,1,2,0
55443623,US,39930552,2008,1,0,2,1,1,0
55447955,EP,39719400,2009,1,1,2,1,2,0
55447956,EP,39777488,2009,1,1,2,1,2,0
55509007,US,35787015,2008,1,1,2,1,2,2
55520153,US,40135722,2008,1,1,1,1,1,0
55520160,US,40135725,2008,0,0,1,1,1,0
55522111,US,40076132,2008,1,1,1,1,2,0
55583325,US,39356556,2009,1,1,2,2,2,1
55583328,US,38255293,2009,1,0,2,1,2,0
55587446,US,39364044,2009,1,1,2,3,2,1
55684237,US,38222469,2009,1,1,2,1,2,2
55687904,US,40042779,2009,1,0,2,1,2,0
55751376,US,38459383,2009,1,1,2,1,2,2
55791063,US,39032120,2009,1,1,2,1,2,0
55791065,US,37304041,2009,1,1,2,1,2,4
55792461,US,38564006,2009,0,0,2,1,2,0
55792607,US,37885832,2009,1,1,2,1,2,1
55818164,EP,40220839,2010,1,0,2,1,1,1
55878476,US,39679299,2009,1,1,2,2,2,0
55878477,US,39823810,2009,1,1,2,1,2,0
55878490,US,40032812,2009,0,0,2,1,2,0
56195721,EP,38923515,2009,1,0,1,1,1,1
56222760,EP,37865899,2009,1,0,2,1,2,1
56253524,EP,39463899,2009,1,0,2,1,2,1
56472002,US,39739517,2009,1,1,2,1,2,0
56472003,US,40175879,2009,1,1,2,2,2,0
56472218,US,40175880,2009,1,1,2,1,2,2
56474035,US,38596273,2009,1,1,2,2,2,13
56498579,US,40337402,2009,1,0,1,1,1,0
56514567,US,38998346,2009,1,1,2,1,2,0
56549329,EP,40943858,2010,1,0,1,2,1,4
56569459,US,40362369,2009,1,1,1,2,1,0
56570929,US,40044086,2009,1,1,2,1,1,0
56570943,US,36758626,2009,1,1,2,2,3,1
56630055,US,40381496,2009,1,0,2,1,1,0
56631877,US,40382350,2009,0,0,1,1,1,0
56662514,US,40387779,2009,2,0,1,1,1,1
56696435,US,40406267,2009,1,1,1,1,1,0
56699081,US,38577937,2009,1,1,2,1,2,0
56769438,US,39591794,2009,1,1,2,1,1,1
56769439,US,39251168,2009,1,1,2,1,2,2
56769440,US,38962000,2009,1,1,2,1,2,0
56769443,US,38472820,2009,1,1,2,2,2,1
